Term,IDF
искоренение,3.91202
расшифровочный,3.91202
сексология,3.91202
profile,3.50656
michalski,3.91202
кисть,3.91202
stan,3.91202
muscat,3.91202
уловка,3.50656
госдоля,3.91202
urff,3.91202
бюджет,1.83258
новосёлов,3.50656
gaizauskas,3.91202
godfathers,3.91202
усреднить,3.91202
co,2.20727
влксм,2.81341
ланина,3.91202
мегатонна,3.91202
открытка,2.81341
антропоморфизм,3.50656
вбирать,3.91202
morphologically,3.91202
сосна,3.50656
мания,3.91202
caltech,3.91202
лавровишня,3.91202
pig,3.50656
flux,2.65926
реорганизовать,2.99573
неудаление,3.91202
госпереворот,3.50656
магистральный,3.50656
youtub,3.91202
инкорпорировать,3.91202
неприемлемый,3.21888
изначальный,2.81341
нетрудовой,3.50656
reservetravel,3.91202
проблесковый,3.91202
страта,3.91202
throne,3.91202
тяжесть,3.50656
бертольт,3.91202
универсализм,3.50656
альфа,3.91202
гана,3.91202
интроспективный,3.91202
zhong,3.91202
хроноопера,3.91202
присуждение,3.50656
рффи,3.91202
видеомонтаж,3.91202
renals,3.91202
подступ,3.91202
универсальный,0.96758
издавать,3.21888
рязань,3.21888
chernova,3.91202
крымов,3.91202
предел,1.10866
вуайеризм,3.91202
присутствовать,1.89712
лавлейс,3.21888
франклый,3.91202
десятикратный,3.91202
iceland,3.91202
спектроскопия,3.91202
отменить,1.60944
ван,3.50656
призвать,1.71480
развёртывание,2.65926
впечатлять,3.91202
historical,2.99573
манчестерский,2.65926
вандалоустойчивый,3.91202
нарциссизм,3.50656
нечестный,3.50656
субъективный,2.65926
нейрофизиолог,3.91202
магдолна,3.91202
коммутатор,3.91202
pp,1.46968
доставка,1.96611
auralist,3.91202
максимальный,1.66073
li,2.99573
worldcon,3.91202
казначейство,3.50656
юкио,3.91202
загонять,3.91202
трансгуманистический,3.91202
натовский,3.91202
карау,3.91202
nanomaterials,3.91202
нюанс,3.91202
сергий,2.81341
networks,1.89712
музафер,3.91202
фабиан,3.91202
археографический,3.91202
нра,3.91202
камтхо,3.91202
удачно,3.50656
подавляться,3.91202
zach,3.91202
богиня,3.91202
голубицкий,3.91202
аутосексуальность,3.91202
serfdom,3.91202
ordering,3.91202
словакия,3.50656
балийский,3.91202
nov,3.91202
delfi,3.50656
амитело,3.91202
ультраправый,3.91202
беллман,3.91202
разведочный,3.91202
женский,1.89712
biggest,3.21888
металлург,3.50656
конь,2.65926
дон,2.99573
islamic,3.91202
информация,0.34249
азов,3.91202
прокомментировать,3.21888
колготки,3.91202
аверченко,3.91202
tüv,3.91202
тритон,3.91202
метафизика,2.65926
dick,3.91202
блокировка,2.99573
owns,3.50656
всплеск,2.99573
отслеживать,2.99573
криптостойкий,3.91202
sostav,3.91202
пайфер,3.91202
плебисцитарный,3.91202
манбан,3.91202
ноксом,3.21888
кольский,3.91202
лки,3.91202
присоединиться,1.83258
lerna,3.91202
починка,3.21888
хогеленд,3.91202
amaravadi,3.91202
эг,3.91202
волшебный,0.35667
секрет,2.20727
sberfood,3.91202
компоновать,3.91202
моносистема,3.91202
черкас,3.91202
элита,2.40795
нсс,3.91202
гидродинамика,3.91202
nintendo,3.91202
отдать,1.96611
убитый,2.99573
штраф,2.81341
двоичный,2.52573
продуцировать,3.91202
рябчик,3.91202
tønnes,3.91202
ijcai,3.91202
чанышева,3.91202
римлянин,3.91202
гаутама,3.91202
погибать,3.91202
подъём,2.81341
совершенствование,2.30259
индивидуальный,1.71480
метаязык,3.91202
учебник,1.30933
складчатый,3.91202
lernen,3.91202
хайдегера,3.91202
ростёха,3.50656
шик,3.91202
rodopi,3.91202
сияние,3.91202
proved,3.91202
fritzson,3.50656
borowiec,3.91202
компоновщик,3.91202
упраздняться,3.91202
действие,0.51083
газфонд,3.91202
несуразность,3.91202
пожонглировать,3.91202
нексиа,3.91202
biersdorfer,3.91202
падерборн,3.50656
отметать,3.91202
мьевиль,3.91202
ends,3.50656
доступ,1.17118
согражданин,3.50656
славистика,3.91202
эмир,3.50656
верующий,3.91202
фнс,3.50656
выдвинуть,2.04022
thomson,3.91202
кормить,3.91202
friends,3.91202
гришин,3.21888
bacterial,3.91202
eeg,3.91202
довлатов,3.91202
избыточный,2.40795
backpropagation,3.91202
транслировать,3.50656
бродбента,3.91202
пиркса,3.91202
androids,3.91202
многозвенник,3.91202
mariae,3.91202
послесловие,3.91202
гугаркский,3.50656
маккейн,3.91202
антанта,3.91202
кортеж,3.91202
песочный,3.50656
однодворцев,3.91202
kristofer,3.91202
срабатывание,2.81341
робототехнический,3.91202
ваяние,3.91202
блечесть,3.21888
активность,1.56065
автомобилизация,3.91202
змеу,3.91202
маскировать,3.50656
заострять,3.50656
двенадцатый,2.81341
терпимость,3.50656
берардинелли,3.91202
очищаться,3.91202
omnidirectional,3.91202
joanne,3.91202
неаккуратный,3.21888
перепечатывать,3.91202
повстанська,3.50656
бризил,3.91202
обуздание,3.91202
σοφός,3.91202
бледный,3.91202
нелинейно,3.91202
тотчас,3.91202
businessman,3.91202
providing,3.91202
грасс,3.91202
вассал,3.21888
newspaper,2.99573
xin,3.91202
ограничение,1.17118
гру,3.91202
симфонический,3.50656
оклад,3.50656
гкб,3.91202
рыльщиков,3.91202
doodlebot,3.91202
менчик,3.91202
танк,2.81341
debut,3.91202
электромобиль,3.21888
карел,3.21888
синергетика,2.99573
perceptron,3.91202
бочкарёв,3.91202
саванна,3.91202
дфо,3.50656
продюсировать,3.91202
сберкасса,3.91202
betting,3.91202
швеллер,3.91202
грандиозный,3.50656
schuster,3.50656
троицкий,3.50656
твой,3.21888
annales,3.91202
добавляться,2.81341
всемогущий,3.50656
рамачандрать,3.91202
розмари,3.91202
animal,3.91202
интерпретировать,2.65926
первоначальный,1.77196
singhal,3.91202
рустамов,3.91202
коннект,2.99573
простукивалка,3.91202
transhumanist,3.91202
failure,3.91202
поклонник,3.50656
переразвитие,3.91202
престарелый,2.99573
франкфуртский,3.50656
всепрощение,3.91202
banka,3.91202
очертание,3.91202
массиный,3.91202
cite,0.31471
инфинить,3.91202
lardinois,3.91202
anton,3.50656
физтех,3.91202
диджитализация,3.91202
восстановление,2.04022
вован,3.91202
tohoku,3.91202
асутп,3.91202
astrophysical,3.91202
баронский,3.91202
вб,3.91202
pay,2.99573
вырабатываться,3.50656
якутский,3.21888
tool,2.81341
педофилия,3.91202
мадхьямик,3.91202
телеведущий,3.50656
постмодернистский,3.91202
зыгальский,3.21888
аннигиляция,3.91202
полежаев,3.50656
шляпник,3.91202
карпентер,3.91202
академический,1.66073
грубо,3.50656
facto,3.91202
gurjit,3.91202
присоединять,3.91202
подвесной,3.91202
череповецкий,3.91202
cortex,3.91202
иллингуорт,3.91202
nygren,3.91202
сопровождение,2.40795
ханчжоу,3.91202
гроза,3.91202
manufactured,3.91202
шостакович,3.91202
материя,2.65926
tackle,3.91202
лукьянов,3.21888
гумусный,3.91202
облегчить,3.21888
акциз,3.91202
бегемот,3.91202
файзуллин,3.50656
мазка,3.91202
великосветский,3.91202
медийный,3.21888
разгораться,3.50656
sahar,3.91202
биофизик,3.50656
χ,3.91202
предприятие,1.02165
halske,3.21888
орбита,2.81341
маймонида,3.91202
сосуд,3.91202
чупров,3.91202
палеоазиатский,3.50656
binder,3.21888
отпадение,3.91202
одурачивание,3.91202
однонаправить,3.91202
меткалф,3.21888
транспортировать,3.50656
lives,3.21888
rsinews,3.91202
wheel,3.50656
мажанди,3.91202
рак,3.21888
карра,3.50656
джером,3.50656
vaccines,3.91202
ру,3.21888
случаться,3.21888
emergent,3.50656
challenge,2.99573
трансполярный,3.50656
провиант,3.91202
webview,3.91202
лемматизация,3.21888
джоанна,3.50656
dopo,3.91202
намерить,3.21888
игнатьев,3.50656
ana,3.91202
безос,3.91202
proquest,3.91202
швейцарский,1.77196
полушарие,3.91202
melomics,3.91202
фрич,3.91202
неинтеллектуальный,3.91202
воллюст,3.91202
patrick,3.50656
back,2.99573
skilled,3.91202
temporarily,3.91202
наёмный,3.50656
изначально,1.42712
снос,3.91202
сжидить,3.50656
kiezen,3.91202
gruppe,3.91202
starcraft,3.50656
филадельфия,3.91202
сенсорный,3.91202
прокопьев,3.91202
вмс,2.99573
пас,3.21888
enables,3.91202
войжитски,3.91202
antibacterial,3.91202
приключенческий,3.50656
month,3.21888
difficulties,3.50656
ляодунский,3.91202
honeymoon,3.91202
иммиграция,2.81341
lakatos,3.91202
ценностный,3.21888
загруженность,3.91202
побывать,3.21888
drop,3.91202
повествовательный,3.50656
pliroforiki,3.91202
пробовать,3.21888
реваншист,3.50656
стэнфорд,2.81341
лютер,3.50656
карьерист,3.50656
garmian,3.91202
кохонный,3.91202
сумгаитский,3.91202
сокращать,3.50656
toennissen,3.91202
антигравитация,3.91202
marrab,3.91202
дань,3.21888
маслина,3.91202
декларировать,2.99573
топчей,3.91202
devices,2.99573
авиаудар,3.91202
ignition,3.91202
ovb,3.91202
авантела,3.91202
киз,3.91202
ie,3.91202
землевладелец,3.91202
часовой,2.52573
саша,3.91202
пропагандистский,3.50656
referendums,3.91202
berlinger,3.91202
система,0.02020
яков,3.50656
центр,0.69315
якутия,3.21888
свергнуть,3.21888
панель,2.52573
гессен,3.91202
dummies,3.91202
чеботкова,3.91202
героева,3.91202
isaac,3.91202
ask,2.52573
поппинс,3.91202
мыший,3.50656
oднако,3.91202
оптомехатроника,3.91202
dice,3.91202
высоконадёжный,3.91202
usenet,2.81341
нелегально,3.91202
оскар,2.81341
алла,3.50656
bot,2.99573
барышников,3.91202
вайонт,3.91202
карсавин,3.91202
предписательный,3.91202
кадек,3.91202
boyuan,3.91202
образец,1.83258
юкито,3.91202
редди,3.21888
неглубокий,3.50656
интернат,3.91202
аппалачский,3.91202
миелоидный,3.91202
ordronaux,3.91202
соотечественник,2.81341
вдобавок,3.50656
устрашать,3.50656
нарушение,1.60944
восприятие,1.83258
нейровизуализация,3.50656
астрономический,2.81341
судьба,1.89712
дорота,3.91202
репетитор,2.99573
неработоспособный,2.99573
аозт,3.91202
завысить,3.21888
возмутить,3.91202
разведгруппа,3.91202
пакетный,3.91202
scaffolding,3.91202
tim,3.21888
хобсбаум,3.91202
серф,2.81341
украшать,3.91202
фирменный,3.21888
порат,3.50656
исправление,1.83258
hearst,3.91202
four,3.91202
карликовый,3.21888
мироустройство,3.91202
heaven,3.91202
нгкумо,3.91202
харасавэйский,3.91202
цзячэном,3.91202
кубок,2.20727
эвгемеризм,3.91202
механика,2.12026
рузавин,3.91202
минимизировать,2.81341
journals,3.91202
интернационал,3.21888
válku,3.91202
нестыковка,3.91202
личный,1.27297
перельман,3.50656
фотографический,3.50656
crunchbase,3.91202
симметричный,3.91202
горячкин,3.91202
миниатюрный,3.50656
circumscription,3.50656
отправитель,3.91202
континентальный,2.30259
biden,3.91202
пометка,3.50656
padomju,3.50656
fuel,3.50656
матрёшка,3.91202
норфолк,3.91202
бирлига,3.50656
paas,3.91202
прописка,3.21888
agile,3.50656
colches,3.91202
tools,2.52573
бандформирование,3.91202
безграничный,3.21888
speller,3.91202
неприсоединение,3.50656
комендант,3.91202
нанометр,3.91202
метранпаж,3.91202
противопоставление,3.50656
аббрёв,3.50656
высокопоставленный,3.50656
популистский,3.50656
пикассо,3.91202
взять,1.20397
заинтересоваться,2.65926
protein,3.91202
эго,3.21888
трухан,3.91202
gaydos,3.91202
dictionaries,3.50656
devonshire,3.91202
casey,3.91202
мясковский,3.91202
глеик,3.91202
вноситься,3.91202
присвоение,2.40795
nelson,3.91202
ассамблея,2.99573
invest,3.91202
комбинация,2.12026
александрия,3.91202
винтовка,3.50656
венский,3.50656
dario,3.91202
сражаться,2.81341
леонардо,3.21888
mao,3.91202
хотеться,3.21888
there,2.40795
запретительный,3.91202
протекать,2.30259
словесный,3.50656
иокогама,3.91202
рептилия,3.91202
сберлогистика,3.91202
ноосфера,3.91202
воронцов,3.21888
британский,1.34707
jhu,3.91202
sargent,3.91202
energy,3.21888
скандинавский,3.21888
впоследствии,1.10866
фффха,3.91202
отречься,3.91202
неуклюжий,3.21888
претендовать,2.52573
hp,3.91202
macpaint,3.91202
золочение,3.21888
isabela,3.91202
empires,3.91202
пакистанский,3.91202
аполитичный,3.91202
углублять,3.91202
сталь,3.21888
зачисляться,3.91202
подходить,2.12026
выступить,1.60944
демиургический,3.91202
ukraine,2.20727
xboard,3.91202
halliday,3.91202
драйв,2.81341
lepri,3.91202
keiran,3.91202
сифакиса,3.21888
ммро,3.91202
интерком,3.91202
проститься,3.91202
driving,2.65926
лайон,3.91202
conte,3.91202
прерывание,3.50656
гильберт,2.99573
repubblica,3.91202
teddington,3.21888
затрагивать,2.81341
пилот,2.99573
occom,3.91202
постер,3.91202
короче,3.91202
щетина,3.91202
эпидемия,2.40795
призвание,3.91202
трекер,3.21888
λογική,3.91202
профессорский,3.91202
пищевой,2.52573
fuchsia,2.99573
иконописец,3.91202
заговорить,3.50656
ошибочно,2.99573
wissenschaftliche,3.91202
материализм,2.99573
торговля,1.66073
гарантировать,2.04022
howard,2.65926
nel,3.91202
ясень,3.91202
диалог,1.34707
таксист,3.91202
photography,3.50656
авторучка,3.91202
resolved,3.91202
кандаулезизм,3.91202
делеонизм,3.91202
стернс,3.21888
воссоединение,3.21888
замдиректор,3.91202
разделиться,3.91202
белоозеро,3.91202
knox,3.91202
кусать,3.91202
причесать,3.91202
непримечательность,3.91202
ufa,3.91202
sinopec,3.91202
рододендрон,3.91202
here,2.99573
фантасмагория,3.50656
шелли,3.50656
квинтилиан,3.91202
максимилиан,3.91202
туркменский,2.40795
маршрутизатор,3.91202
mutterlandpop,3.91202
sudoc,1.46968
неодворянин,3.91202
магнолия,3.91202
преемственность,2.99573
очистный,3.91202
silvana,3.91202
intelligent,2.40795
лоран,3.91202
маршрут,2.81341
scienceblog,3.91202
рубия,3.91202
дело,0.61619
опоздать,3.91202
woody,3.91202
медик,3.91202
nitzan,3.91202
александрийский,3.91202
пленарный,3.50656
робин,2.99573
fred,3.50656
stories,3.50656
миниатюра,3.91202
каталанский,1.30933
гамзат,3.91202
воронков,3.91202
баллард,3.91202
telemadrid,3.91202
обозначение,1.96611
шумпетер,3.91202
jeny,3.91202
мс,3.91202
mi,3.50656
федос,3.91202
interrogator,3.91202
аршевскай,3.91202
гелиобиология,3.91202
четырёхугольный,3.50656
schaerf,3.91202
куриловый,3.91202
телекоммуникационный,2.40795
study,2.04022
toolbar,2.99573
азиатский,2.52573
тонг,3.91202
allmovie,3.91202
соотношение,2.20727
вырастать,3.50656
бутрин,3.21888
пентагон,3.91202
укреплять,3.50656
спиридонович,3.91202
пэйдж,3.91202
абонентский,3.91202
лолита,3.91202
распорядительный,3.50656
начать,0.67334
макет,3.50656
putin,2.65926
датский,0.96758
слуцкий,3.50656
zrt,3.91202
chevron,3.91202
адъюнкт,3.91202
призма,3.50656
боевой,1.56065
очистить,3.91202
ray,2.30259
следить,2.40795
дэйер,3.91202
фа,3.91202
геоинформационный,3.91202
üniversitesi,3.91202
неотрицать,3.91202
brings,3.50656
опера,2.65926
фарфоровый,3.91202
холдиноговый,3.91202
союзник,2.12026
adrian,3.50656
засечный,3.91202
neft,3.91202
отвергаться,3.91202
kunyan,3.91202
самоосознание,3.91202
captain,3.91202
источник,-0.00995
совместить,3.50656
разорвать,3.91202
оно,0.99425
operations,3.21888
социализация,3.91202
cnnmoney,3.21888
borchert,3.91202
стать,0.16252
assange,3.91202
сезон,2.81341
вручать,3.91202
треть,2.12026
мединский,3.50656
counterparts,3.91202
boom,3.91202
параллелизм,3.21888
автоозвучка,3.91202
штернберг,3.91202
межличностный,3.91202
крепостной,3.21888
zappos,3.91202
основатель,1.30933
оро,3.50656
псевдофизический,3.91202
flanders,3.91202
представить,0.79851
чернокожий,3.91202
рыбачий,3.50656
обливион,3.91202
офисный,3.21888
спонсироваться,3.91202
roberts,2.99573
howtouber,3.91202
ян,1.10866
действительность,2.20727
субтитр,3.91202
платок,3.91202
рамафоса,3.91202
контрастный,3.50656
пиф,3.91202
жердевский,3.91202
керенский,3.21888
амбициозный,3.50656
сгонять,3.91202
automate,3.91202
кварталовый,3.91202
предъявить,2.40795
аннулировать,3.50656
putu,3.91202
росгвардия,3.91202
бельгийский,3.91202
совокупный,2.12026
interdisciplinary,3.21888
земельный,2.52573
видеоигра,2.40795
smithsonian,3.50656
паисиевский,3.91202
заготовка,2.99573
кассиус,3.91202
млрд,1.23787
сверхцивилизация,3.91202
сначала,1.20397
driessche,3.91202
красноярск,3.21888
бразилиа,3.91202
ппп,3.91202
flatley,3.91202
жи,3.91202
хороший,0.75502
вулканизм,3.91202
фольклорный,3.91202
ушенина,3.91202
about,1.83258
gdata,2.99573
причастность,3.50656
мадрас,3.91202
stanley,2.99573
rediff,2.99573
суворов,2.99573
сибур,3.21888
маг,3.91202
lebofsky,3.91202
gusev,3.91202
copying,3.50656
карго,3.91202
таера,3.91202
сопроводить,3.91202
justine,3.91202
ливерпуль,3.91202
мир,0.24846
осудить,2.40795
обозрение,2.81341
забываться,3.21888
четверо,3.50656
винный,3.91202
крестьяноведение,3.91202
volte,3.91202
hollywood,3.50656
висконсин,3.50656
provided,3.91202
mitch,3.91202
protector,3.91202
nikhil,3.91202
technology,1.38629
yeh,3.91202
прослушать,3.91202
кьеркегор,3.91202
петрос,3.21888
выпрямление,3.91202
религиозность,3.91202
пролив,2.99573
гукарк,3.50656
двухнедельный,3.91202
выпутаться,3.91202
фризский,3.91202
пробивка,3.91202
переманить,3.91202
court,2.52573
ес,1.02165
debt,3.91202
магия,3.50656
вершина,2.99573
مركز,3.91202
colonel,3.91202
հանրապետությունների,3.50656
yu,3.21888
obolensky,3.91202
модест,3.91202
эксплицитный,3.91202
бесправный,3.50656
аль,3.91202
анимировать,3.91202
tarantool,3.91202
русагро,3.50656
грицановый,3.91202
тогдашний,3.91202
renault,3.91202
циммерман,3.91202
krugman,3.91202
подбирать,3.21888
переделка,3.91202
вправо,3.50656
новиков,2.30259
пропаганди,3.91202
поршень,3.91202
вднх,3.50656
ущемление,3.91202
преподнести,3.91202
ipad,3.50656
tanked,3.91202
невыполнение,3.91202
превалировать,3.91202
транслятор,3.21888
flowers,3.91202
боль,3.21888
allen,2.99573
оцениваться,1.71480
wine,3.91202
астана,3.50656
избрать,2.04022
worse,3.91202
dns,2.52573
джоунсом,3.91202
résultats,3.91202
ананьев,3.91202
larson,3.91202
choices,3.91202
searle,3.21888
трёхлетие,3.91202
калькулятор,2.99573
lics,3.91202
прощание,3.91202
решиться,3.91202
оскарович,3.91202
монофтонг,3.91202
ненависть,2.65926
выпускница,3.91202
долго,2.81341
woont,3.91202
откреститься,3.91202
прозвонщик,3.91202
junior,3.91202
непрактичность,3.91202
гостеприимство,3.91202
amocrm,3.91202
гном,3.91202
размытость,3.91202
улан,3.91202
устроить,2.65926
зороастризм,3.91202
симбуна,3.91202
incompetent,3.91202
зачастую,2.40795
элмана,3.91202
ермолаев,3.91202
эполет,3.91202
злодеяние,3.91202
age,2.12026
beat,3.50656
jv,3.91202
strategies,2.81341
цеховой,3.91202
omni,3.91202
антикапитализм,3.91202
энергосбережение,3.91202
zum,3.91202
концентрироваться,3.91202
бессильный,3.50656
дамиани,3.50656
категоризация,2.99573
rb,3.91202
прославиться,3.91202
пансион,3.91202
dunn,3.50656
усманов,3.50656
символика,2.81341
александров,2.52573
алексеев,2.52573
шуваловский,3.91202
фокусировать,3.91202
диверсификация,3.21888
нападение,2.52573
уважение,2.99573
больцмана,2.99573
name,2.99573
ptbnp,2.99573
гартман,3.91202
educating,3.91202
умышленно,3.91202
некорректно,3.21888
эквивалент,2.20727
альвеола,3.91202
cockney,3.91202
скрещивание,3.91202
магнитогорский,3.50656
котировка,3.50656
медуза,2.99573
сверхбольшинство,3.91202
неавторитетный,2.20727
phil,3.50656
ошибочий,3.91202
окраска,3.50656
объективация,3.91202
избирательный,2.65926
kuhn,3.91202
осознать,3.50656
фридман,3.91202
эмерсон,3.21888
продавать,2.04022
факторный,2.65926
sad,3.91202
planet,2.99573
общенациональный,2.65926
триває,3.91202
резня,3.91202
вьяптить,3.91202
оболочка,3.21888
racial,3.91202
аристотелизм,3.50656
единообразный,3.50656
fifth,2.99573
iis,3.91202
сакина,3.91202
вк,3.91202
наделяться,3.50656
слить,3.50656
петровское,3.91202
maybe,3.91202
отлучение,3.91202
lessen,3.91202
obozrevatel,3.50656
downed,3.91202
софист,3.91202
исключить,1.38629
фрейм,2.65926
гонсаленса,3.91202
covington,3.91202
валентина,2.99573
покрымсать,3.91202
геродот,3.91202
замятин,3.91202
мономах,3.91202
ненадёжный,3.91202
bt,3.91202
интелвак,3.91202
искушение,3.21888
casualties,3.91202
eb,3.91202
бэла,3.91202
boy,3.91202
стэнли,2.81341
teemu,3.91202
понравиться,3.50656
bel,3.91202
высмеивать,3.91202
коннотация,3.91202
tvigle,3.50656
agency,3.50656
wołos,3.91202
baidu,2.81341
zettair,2.99573
перечислить,2.52573
заводной,3.50656
спортить,3.91202
самостоятельный,1.42712
генетика,2.99573
бразоль,3.91202
заверить,3.91202
манифест,3.21888
обнадёживать,3.21888
фейерабенд,3.91202
ingrid,3.91202
чачава,3.91202
auftrag,3.91202
мельтюх,3.91202
systems,1.38629
взлом,2.52573
кульминация,3.50656
кровать,3.91202
предостережение,3.91202
эдди,3.91202
paves,3.91202
edsac,3.91202
breast,3.91202
нефтетранссервис,3.91202
christodoulou,3.91202
philosophica,3.91202
воронежский,2.52573
телевизионный,2.30259
домысел,3.50656
петь,3.50656
elastomers,3.91202
боинг,3.91202
североамериканский,3.91202
металогика,3.91202
транссексуальность,3.91202
sanjay,3.91202
гомеопатическия,3.91202
радянський,3.50656
rehabilitating,3.91202
врата,3.91202
судопроизводство,2.99573
giorgio,3.91202
хонора,3.91202
рэпер,3.91202
забраковать,3.91202
el,2.99573
приспосабливать,3.91202
акшапады,3.91202
куайн,3.91202
недостаток,0.59784
srbija,3.91202
вероятный,2.40795
редкость,3.21888
election,3.91202
нурланна,3.91202
брендать,3.50656
перевозиться,3.21888
записывать,2.52573
iva,3.91202
плоский,3.21888
метамашина,3.91202
серафим,3.91202
крысиный,3.91202
